maintenance_id,asset_id,start_time,end_time,duration_min,planned,fault_type,maintenance_type,corrective_action,severity_rf_at_start,notes,cycle_id,cycle_index
M000015,asset_00,2026-01-17 02:13:00+00:00,2026-01-17 02:45:00+00:00,32.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001242507,scheduled cleaning after asset_00_C00012,asset_00_C00012,12
M000016,asset_00,2026-01-18 12:13:00+00:00,2026-01-18 12:52:00+00:00,39.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001471388,scheduled cleaning after asset_00_C00013,asset_00_C00013,13
M000017,asset_00,2026-01-19 10:18:00+00:00,2026-01-19 10:48:00+00:00,30.0,0,clogging,unclog,flush/unblock,0.0018352378,synthetic unplanned intervention for asset_00_C00014,asset_00_C00014,14
M000018,asset_00,2026-01-19 10:48:00+00:00,2026-01-19 11:32:00+00:00,44.0,1,preventive,scheduled_CIP,CIP_cycle,4.51407e-05,scheduled cleaning after asset_00_C00014,asset_00_C00014,14
M000019,asset_00,2026-01-20 20:43:00+00:00,2026-01-20 21:19:00+00:00,36.0,0,clogging,unclog,flush/unblock,0.0019264518,synthetic unplanned intervention for asset_00_C00015,asset_00_C00015,15
M000020,asset_00,2026-01-20 21:19:00+00:00,2026-01-20 22:05:00+00:00,46.0,1,preventive,scheduled_CIP,CIP_cycle,3.44621e-05,scheduled cleaning after asset_00_C00015,asset_00_C00015,15
M000021,asset_00,2026-01-22 11:25:00+00:00,2026-01-22 11:49:00+00:00,24.0,0,clogging,unclog,flush/unblock,0.0012625063,synthetic unplanned intervention for asset_00_C00016,asset_00_C00016,16
M000022,asset_00,2026-01-22 11:49:00+00:00,2026-01-22 12:35:00+00:00,46.0,1,preventive,scheduled_CIP,CIP_cycle,2.12819e-05,scheduled cleaning after asset_00_C00016,asset_00_C00016,16
M000023,asset_00,2026-01-23 09:57:00+00:00,2026-01-23 10:41:00+00:00,44.0,1,preventive,scheduled_CIP,CIP_cycle,5.00984e-05,scheduled cleaning after asset_00_C00017,asset_00_C00017,17
M000024,asset_00,2026-01-24 22:08:00+00:00,2026-01-24 22:49:00+00:00,41.0,1,preventive,scheduled_CIP,CIP_cycle,6.95641e-05,scheduled cleaning after asset_00_C00018,asset_00_C00018,18
M000001,asset_01,2026-01-01 19:24:00+00:00,2026-01-01 20:01:00+00:00,37.0,1,preventive,scheduled_CIP,CIP_cycle,0.0002688357,scheduled cleaning after asset_01_C00001,asset_01_C00001,1
M000002,asset_01,2026-01-03 07:19:00+00:00,2026-01-03 08:01:00+00:00,42.0,0,fouling,CIP_extra,unscheduled CIP,0.0028631459,synthetic unplanned intervention for asset_01_C00002,asset_01_C00002,2
M000003,asset_01,2026-01-04 23:51:00+00:00,2026-01-05 00:26:00+00:00,35.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001810646,scheduled cleaning after asset_01_C00003,asset_01_C00003,3
M000004,asset_01,2026-01-06 18:42:00+00:00,2026-01-06 19:22:00+00:00,40.0,1,preventive,scheduled_CIP,CIP_cycle,9.31508e-05,scheduled cleaning after asset_01_C00004,asset_01_C00004,4
M000005,asset_01,2026-01-07 23:17:00+00:00,2026-01-07 23:34:00+00:00,17.0,0,clogging,unclog,flush/unblock,0.0025327824,synthetic unplanned intervention for asset_01_C00005,asset_01_C00005,5
M000006,asset_01,2026-01-07 23:34:00+00:00,2026-01-08 00:12:00+00:00,38.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001638376,scheduled cleaning after asset_01_C00005,asset_01_C00005,5
M000007,asset_01,2026-01-09 07:03:00+00:00,2026-01-09 07:45:00+00:00,42.0,0,fouling,CIP_extra,unscheduled CIP,0.0026463216,synthetic unplanned intervention for asset_01_C00006,asset_01_C00006,6
M000008,asset_01,2026-01-10 13:41:00+00:00,2026-01-10 14:21:00+00:00,40.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001387273,scheduled cleaning after asset_01_C00007,asset_01_C00007,7
M000009,asset_01,2026-01-12 00:03:00+00:00,2026-01-12 00:38:00+00:00,35.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001442732,scheduled cleaning after asset_01_C00008,asset_01_C00008,8
M000010,asset_01,2026-01-13 08:36:00+00:00,2026-01-13 09:10:00+00:00,34.0,0,clogging,unclog,flush/unblock,0.0023580266,synthetic unplanned intervention for asset_01_C00009,asset_01_C00009,9
M000011,asset_01,2026-01-13 09:10:00+00:00,2026-01-13 09:47:00+00:00,37.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001393828,scheduled cleaning after asset_01_C00009,asset_01_C00009,9
M000012,asset_01,2026-01-14 23:28:00+00:00,2026-01-14 23:46:00+00:00,18.0,0,clogging,unclog,flush/unblock,0.002573748,synthetic unplanned intervention for asset_01_C00010,asset_01_C00010,10
M000013,asset_01,2026-01-14 23:46:00+00:00,2026-01-15 00:23:00+00:00,37.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001605417,scheduled cleaning after asset_01_C00010,asset_01_C00010,10
M000014,asset_01,2026-01-16 05:47:00+00:00,2026-01-16 06:32:00+00:00,45.0,0,clogging,unclog,flush/unblock,0.0024189426,synthetic unplanned intervention for asset_01_C00011,asset_01_C00011,11
M000015,asset_01,2026-01-16 06:32:00+00:00,2026-01-16 07:01:00+00:00,29.0,1,preventive,scheduled_CIP,CIP_cycle,0.0003115033,scheduled cleaning after asset_01_C00011,asset_01_C00011,11
M000016,asset_01,2026-01-17 19:22:00+00:00,2026-01-17 19:36:00+00:00,14.0,0,clogging,unclog,flush/unblock,0.0015908124,synthetic unplanned intervention for asset_01_C00012,asset_01_C00012,12
M000017,asset_01,2026-01-17 19:36:00+00:00,2026-01-17 20:14:00+00:00,38.0,1,preventive,scheduled_CIP,CIP_cycle,8.36649e-05,scheduled cleaning after asset_01_C00012,asset_01_C00012,12
M000018,asset_01,2026-01-18 17:04:00+00:00,2026-01-18 17:44:00+00:00,40.0,0,clogging,unclog,flush/unblock,0.0015013104,synthetic unplanned intervention for asset_01_C00013,asset_01_C00013,13
M000019,asset_01,2026-01-18 17:44:00+00:00,2026-01-18 18:22:00+00:00,38.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001121238,scheduled cleaning after asset_01_C00013,asset_01_C00013,13
M000020,asset_01,2026-01-20 13:32:00+00:00,2026-01-20 14:17:00+00:00,45.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001020752,scheduled cleaning after asset_01_C00014,asset_01_C00014,14
M000021,asset_01,2026-01-21 18:46:00+00:00,2026-01-21 19:25:00+00:00,39.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001744396,scheduled cleaning after asset_01_C00015,asset_01_C00015,15
M000022,asset_01,2026-01-22 21:39:00+00:00,2026-01-22 22:26:00+00:00,47.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001563269,scheduled cleaning after asset_01_C00016,asset_01_C00016,16
M000023,asset_01,2026-01-24 15:50:00+00:00,2026-01-24 16:24:00+00:00,34.0,1,preventive,scheduled_CIP,CIP_cycle,0.0002116348,scheduled cleaning after asset_01_C00017,asset_01_C00017,17
M000024,asset_01,2026-01-25 17:00:00+00:00,2026-01-25 17:32:00+00:00,32.0,0,fouling,CIP_extra,unscheduled CIP,0.0029128933,synthetic unplanned intervention for asset_01_C00018,asset_01_C00018,18
M000001,asset_02,2026-01-02 01:53:00+00:00,2026-01-02 02:21:00+00:00,28.0,1,preventive,scheduled_CIP,CIP_cycle,0.0003002611,scheduled cleaning after asset_02_C00001,asset_02_C00001,1
M000002,asset_02,2026-01-03 09:35:00+00:00,2026-01-03 10:12:00+00:00,37.0,1,preventive,scheduled_CIP,CIP_cycle,0.0002511657,scheduled cleaning after asset_02_C00002,asset_02_C00002,2
M000003,asset_02,2026-01-05 02:40:00+00:00,2026-01-05 03:12:00+00:00,32.0,1,preventive,scheduled_CIP,CIP_cycle,0.0003401472,scheduled cleaning after asset_02_C00003,asset_02_C00003,3
M000004,asset_02,2026-01-06 00:57:00+00:00,2026-01-06 01:19:00+00:00,22.0,0,clogging,unclog,flush/unblock,0.001871847,synthetic unplanned intervention for asset_02_C00004,asset_02_C00004,4
M000005,asset_02,2026-01-06 01:19:00+00:00,2026-01-06 02:03:00+00:00,44.0,1,preventive,scheduled_CIP,CIP_cycle,9.03788e-05,scheduled cleaning after asset_02_C00004,asset_02_C00004,4
M000006,asset_02,2026-01-07 16:32:00+00:00,2026-01-07 16:42:00+00:00,10.0,0,clogging,unclog,flush/unblock,0.0023501998,synthetic unplanned intervention for asset_02_C00005,asset_02_C00005,5
M000007,asset_02,2026-01-07 16:42:00+00:00,2026-01-07 17:19:00+00:00,37.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001795456,scheduled cleaning after asset_02_C00005,asset_02_C00005,5
M000008,asset_02,2026-01-08 17:13:00+00:00,2026-01-08 17:51:00+00:00,38.0,0,clogging,unclog,flush/unblock,0.0027407045,synthetic unplanned intervention for asset_02_C00006,asset_02_C00006,6
M000009,asset_02,2026-01-08 17:51:00+00:00,2026-01-08 18:36:00+00:00,45.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001199638,scheduled cleaning after asset_02_C00006,asset_02_C00006,6
M000010,asset_02,2026-01-09 16:51:00+00:00,2026-01-09 17:01:00+00:00,10.0,0,clogging,unclog,flush/unblock,0.0020034137,synthetic unplanned intervention for asset_02_C00007,asset_02_C00007,7
M000011,asset_02,2026-01-09 17:01:00+00:00,2026-01-09 17:44:00+00:00,43.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001325208,scheduled cleaning after asset_02_C00007,asset_02_C00007,7
M000012,asset_02,2026-01-10 08:54:00+00:00,2026-01-10 09:35:00+00:00,41.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001240042,scheduled cleaning after asset_02_C00008,asset_02_C00008,8
M000013,asset_02,2026-01-11 20:00:00+00:00,2026-01-11 20:10:00+00:00,10.0,0,clogging,unclog,flush/unblock,0.001745968,synthetic unplanned intervention for asset_02_C00009,asset_02_C00009,9
M000014,asset_02,2026-01-11 20:10:00+00:00,2026-01-11 20:47:00+00:00,37.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001783203,scheduled cleaning after asset_02_C00009,asset_02_C00009,9
M000015,asset_02,2026-01-12 23:39:00+00:00,2026-01-13 00:03:00+00:00,24.0,0,clogging,unclog,flush/unblock,0.0025013494,synthetic unplanned intervention for asset_02_C00010,asset_02_C00010,10
M000016,asset_02,2026-01-13 00:03:00+00:00,2026-01-13 00:41:00+00:00,38.0,1,preventive,scheduled_CIP,CIP_cycle,0.0002974738,scheduled cleaning after asset_02_C00010,asset_02_C00010,10
M000017,asset_02,2026-01-14 10:00:00+00:00,2026-01-14 10:34:00+00:00,34.0,1,preventive,scheduled_CIP,CIP_cycle,0.0003262711,scheduled cleaning after asset_02_C00011,asset_02_C00011,11
M000018,asset_02,2026-01-15 19:06:00+00:00,2026-01-15 19:46:00+00:00,40.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001340587,scheduled cleaning after asset_02_C00012,asset_02_C00012,12
M000019,asset_02,2026-01-16 12:51:00+00:00,2026-01-16 13:30:00+00:00,39.0,1,preventive,scheduled_CIP,CIP_cycle,0.0003453449,scheduled cleaning after asset_02_C00013,asset_02_C00013,13
M000020,asset_02,2026-01-17 14:45:00+00:00,2026-01-17 15:32:00+00:00,47.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001086275,scheduled cleaning after asset_02_C00014,asset_02_C00014,14
M000021,asset_02,2026-01-19 00:43:00+00:00,2026-01-19 01:23:00+00:00,40.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001940755,scheduled cleaning after asset_02_C00015,asset_02_C00015,15
M000022,asset_02,2026-01-20 18:10:00+00:00,2026-01-20 18:56:00+00:00,46.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001378044,scheduled cleaning after asset_02_C00016,asset_02_C00016,16
M000023,asset_02,2026-01-22 01:53:00+00:00,2026-01-22 02:32:00+00:00,39.0,0,clogging,unclog,flush/unblock,0.0020741264,synthetic unplanned intervention for asset_02_C00017,asset_02_C00017,17
M000024,asset_02,2026-01-22 02:32:00+00:00,2026-01-22 03:04:00+00:00,32.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001451174,scheduled cleaning after asset_02_C00017,asset_02_C00017,17
M000025,asset_02,2026-01-23 06:31:00+00:00,2026-01-23 07:09:00+00:00,38.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001353024,scheduled cleaning after asset_02_C00018,asset_02_C00018,18
M000001,asset_03,2026-01-02 04:06:00+00:00,2026-01-02 04:43:00+00:00,37.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001388755,scheduled cleaning after asset_03_C00001,asset_03_C00001,1
M000002,asset_03,2026-01-02 22:49:00+00:00,2026-01-02 23:11:00+00:00,22.0,0,clogging,unclog,flush/unblock,0.0016518324,synthetic unplanned intervention for asset_03_C00002,asset_03_C00002,2
M000003,asset_03,2026-01-02 23:11:00+00:00,2026-01-02 23:42:00+00:00,31.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001260354,scheduled cleaning after asset_03_C00002,asset_03_C00002,2
M000004,asset_03,2026-01-05 04:04:00+00:00,2026-01-05 04:44:00+00:00,40.0,0,clogging,unclog,flush/unblock,0.0013887974,synthetic unplanned intervention for asset_03_C00003,asset_03_C00003,3
M000005,asset_03,2026-01-05 04:44:00+00:00,2026-01-05 05:26:00+00:00,42.0,1,preventive,scheduled_CIP,CIP_cycle,6.95464e-05,scheduled cleaning after asset_03_C00003,asset_03_C00003,3
M000006,asset_03,2026-01-06 03:16:00+00:00,2026-01-06 04:05:00+00:00,49.0,1,preventive,scheduled_CIP,CIP_cycle,6.31808e-05,scheduled cleaning after asset_03_C00004,asset_03_C00004,4
M000007,asset_03,2026-01-07 16:47:00+00:00,2026-01-07 17:00:00+00:00,13.0,0,clogging,unclog,flush/unblock,0.0020434874,synthetic unplanned intervention for asset_03_C00005,asset_03_C00005,5
M000008,asset_03,2026-01-07 17:00:00+00:00,2026-01-07 17:37:00+00:00,37.0,1,preventive,scheduled_CIP,CIP_cycle,9.34686e-05,scheduled cleaning after asset_03_C00005,asset_03_C00005,5
M000009,asset_03,2026-01-08 09:58:00+00:00,2026-01-08 10:39:00+00:00,41.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001335831,scheduled cleaning after asset_03_C00006,asset_03_C00006,6
M000010,asset_03,2026-01-09 09:08:00+00:00,2026-01-09 09:41:00+00:00,33.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001872663,scheduled cleaning after asset_03_C00007,asset_03_C00007,7
M000011,asset_03,2026-01-10 12:40:00+00:00,2026-01-10 13:14:00+00:00,34.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001324167,scheduled cleaning after asset_03_C00008,asset_03_C00008,8
M000012,asset_03,2026-01-12 11:12:00+00:00,2026-01-12 11:53:00+00:00,41.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001510844,scheduled cleaning after asset_03_C00009,asset_03_C00009,9
M000013,asset_03,2026-01-14 01:30:00+00:00,2026-01-14 02:11:00+00:00,41.0,1,preventive,scheduled_CIP,CIP_cycle,6.14792e-05,scheduled cleaning after asset_03_C00010,asset_03_C00010,10
M000014,asset_03,2026-01-14 21:36:00+00:00,2026-01-14 22:16:00+00:00,40.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001155555,scheduled cleaning after asset_03_C00011,asset_03_C00011,11
M000015,asset_03,2026-01-16 08:33:00+00:00,2026-01-16 09:19:00+00:00,46.0,1,preventive,scheduled_CIP,CIP_cycle,4.18348e-05,scheduled cleaning after asset_03_C00012,asset_03_C00012,12
M000016,asset_03,2026-01-17 12:27:00+00:00,2026-01-17 13:03:00+00:00,36.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001527565,scheduled cleaning after asset_03_C00013,asset_03_C00013,13
M000017,asset_03,2026-01-18 18:13:00+00:00,2026-01-18 18:57:00+00:00,44.0,0,clogging,unclog,flush/unblock,0.0019528588,synthetic unplanned intervention for asset_03_C00014,asset_03_C00014,14
M000018,asset_03,2026-01-18 18:57:00+00:00,2026-01-18 19:23:00+00:00,26.0,1,preventive,scheduled_CIP,CIP_cycle,0.00022006,scheduled cleaning after asset_03_C00014,asset_03_C00014,14
M000019,asset_03,2026-01-19 17:31:00+00:00,2026-01-19 17:52:00+00:00,21.0,0,clogging,unclog,flush/unblock,0.0012155,synthetic unplanned intervention for asset_03_C00015,asset_03_C00015,15
M000020,asset_03,2026-01-19 17:52:00+00:00,2026-01-19 18:37:00+00:00,45.0,1,preventive,scheduled_CIP,CIP_cycle,3.19747e-05,scheduled cleaning after asset_03_C00015,asset_03_C00015,15
M000021,asset_03,2026-01-20 18:03:00+00:00,2026-01-20 18:39:00+00:00,36.0,1,preventive,scheduled_CIP,CIP_cycle,0.0002057172,scheduled cleaning after asset_03_C00016,asset_03_C00016,16
M000022,asset_03,2026-01-22 01:27:00+00:00,2026-01-22 02:05:00+00:00,38.0,0,clogging,unclog,flush/unblock,0.0019609865,synthetic unplanned intervention for asset_03_C00017,asset_03_C00017,17
M000023,asset_03,2026-01-22 02:05:00+00:00,2026-01-22 02:53:00+00:00,48.0,1,preventive,scheduled_CIP,CIP_cycle,5.08635e-05,scheduled cleaning after asset_03_C00017,asset_03_C00017,17
M000024,asset_03,2026-01-23 10:23:00+00:00,2026-01-23 10:46:00+00:00,23.0,0,clogging,unclog,flush/unblock,0.0023498528,synthetic unplanned intervention for asset_03_C00018,asset_03_C00018,18
M000025,asset_03,2026-01-23 10:46:00+00:00,2026-01-23 11:33:00+00:00,47.0,1,preventive,scheduled_CIP,CIP_cycle,8.13788e-05,scheduled cleaning after asset_03_C00018,asset_03_C00018,18
M000001,asset_04,2026-01-02 00:03:00+00:00,2026-01-02 00:47:00+00:00,44.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001068724,scheduled cleaning after asset_04_C00001,asset_04_C00001,1
M000002,asset_04,2026-01-03 03:46:00+00:00,2026-01-03 04:16:00+00:00,30.0,1,preventive,scheduled_CIP,CIP_cycle,0.0002141885,scheduled cleaning after asset_04_C00002,asset_04_C00002,2
M000003,asset_04,2026-01-04 18:53:00+00:00,2026-01-04 19:37:00+00:00,44.0,1,preventive,scheduled_CIP,CIP_cycle,6.51747e-05,scheduled cleaning after asset_04_C00003,asset_04_C00003,3
M000004,asset_04,2026-01-05 13:15:00+00:00,2026-01-05 13:54:00+00:00,39.0,0,clogging,unclog,flush/unblock,0.0015262534,synthetic unplanned intervention for asset_04_C00004,asset_04_C00004,4
M000005,asset_04,2026-01-05 13:54:00+00:00,2026-01-05 14:31:00+00:00,37.0,1,preventive,scheduled_CIP,CIP_cycle,8.19045e-05,scheduled cleaning after asset_04_C00004,asset_04_C00004,4
M000006,asset_04,2026-01-06 15:58:00+00:00,2026-01-06 16:30:00+00:00,32.0,1,preventive,scheduled_CIP,CIP_cycle,0.0002625116,scheduled cleaning after asset_04_C00005,asset_04_C00005,5
M000007,asset_04,2026-01-07 20:29:00+00:00,2026-01-07 21:11:00+00:00,42.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001301589,scheduled cleaning after asset_04_C00006,asset_04_C00006,6
M000008,asset_04,2026-01-08 18:09:00+00:00,2026-01-08 18:26:00+00:00,17.0,0,clogging,unclog,flush/unblock,0.0016674335,synthetic unplanned intervention for asset_04_C00007,asset_04_C00007,7
M000009,asset_04,2026-01-08 18:26:00+00:00,2026-01-08 19:00:00+00:00,34.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001485284,scheduled cleaning after asset_04_C00007,asset_04_C00007,7
M000010,asset_04,2026-01-09 23:20:00+00:00,2026-01-10 00:04:00+00:00,44.0,1,preventive,scheduled_CIP,CIP_cycle,5.36217e-05,scheduled cleaning after asset_04_C00008,asset_04_C00008,8
M000011,asset_04,2026-01-11 08:56:00+00:00,2026-01-11 09:40:00+00:00,44.0,1,preventive,scheduled_CIP,CIP_cycle,9.41324e-05,scheduled cleaning after asset_04_C00009,asset_04_C00009,9
M000012,asset_04,2026-01-12 11:42:00+00:00,2026-01-12 12:17:00+00:00,35.0,0,clogging,unclog,flush/unblock,0.0018568794,synthetic unplanned intervention for asset_04_C00010,asset_04_C00010,10
M000013,asset_04,2026-01-12 12:17:00+00:00,2026-01-12 12:57:00+00:00,40.0,1,preventive,scheduled_CIP,CIP_cycle,6.73003e-05,scheduled cleaning after asset_04_C00010,asset_04_C00010,10
M000014,asset_04,2026-01-13 21:00:00+00:00,2026-01-13 21:36:00+00:00,36.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001714441,scheduled cleaning after asset_04_C00011,asset_04_C00011,11
M000015,asset_04,2026-01-14 17:53:00+00:00,2026-01-14 18:41:00+00:00,48.0,1,preventive,scheduled_CIP,CIP_cycle,8.87571e-05,scheduled cleaning after asset_04_C00012,asset_04_C00012,12
M000016,asset_04,2026-01-15 13:53:00+00:00,2026-01-15 14:30:00+00:00,37.0,1,preventive,scheduled_CIP,CIP_cycle,0.000296599,scheduled cleaning after asset_04_C00013,asset_04_C00013,13
M000017,asset_04,2026-01-16 15:23:00+00:00,2026-01-16 16:01:00+00:00,38.0,0,clogging,unclog,flush/unblock,0.0014743334,synthetic unplanned intervention for asset_04_C00014,asset_04_C00014,14
M000018,asset_04,2026-01-16 16:01:00+00:00,2026-01-16 16:42:00+00:00,41.0,1,preventive,scheduled_CIP,CIP_cycle,6.58067e-05,scheduled cleaning after asset_04_C00014,asset_04_C00014,14
M000019,asset_04,2026-01-18 05:36:00+00:00,2026-01-18 06:11:00+00:00,35.0,1,preventive,scheduled_CIP,CIP_cycle,0.0003270953,scheduled cleaning after asset_04_C00015,asset_04_C00015,15
M000020,asset_04,2026-01-19 13:10:00+00:00,2026-01-19 13:53:00+00:00,43.0,1,preventive,scheduled_CIP,CIP_cycle,6.88585e-05,scheduled cleaning after asset_04_C00016,asset_04_C00016,16
M000021,asset_04,2026-01-20 22:03:00+00:00,2026-01-20 22:35:00+00:00,32.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001519984,scheduled cleaning after asset_04_C00017,asset_04_C00017,17
M000022,asset_04,2026-01-22 14:16:00+00:00,2026-01-22 14:53:00+00:00,37.0,1,preventive,scheduled_CIP,CIP_cycle,0.000115991,scheduled cleaning after asset_04_C00018,asset_04_C00018,18
M000001,asset_05,2026-01-01 20:53:00+00:00,2026-01-01 21:29:00+00:00,36.0,0,fouling,CIP_extra,unscheduled CIP,0.0019460956,synthetic unplanned intervention for asset_05_C00001,asset_05_C00001,1
M000002,asset_05,2026-01-03 13:57:00+00:00,2026-01-03 14:44:00+00:00,47.0,1,preventive,scheduled_CIP,CIP_cycle,5.54797e-05,scheduled cleaning after asset_05_C00002,asset_05_C00002,2
M000003,asset_05,2026-01-04 21:35:00+00:00,2026-01-04 22:19:00+00:00,44.0,1,preventive,scheduled_CIP,CIP_cycle,7.4263e-05,scheduled cleaning after asset_05_C00003,asset_05_C00003,3
M000004,asset_05,2026-01-05 18:41:00+00:00,2026-01-05 19:18:00+00:00,37.0,1,preventive,scheduled_CIP,CIP_cycle,0.0002397527,scheduled cleaning after asset_05_C00004,asset_05_C00004,4
M000005,asset_05,2026-01-07 04:03:00+00:00,2026-01-07 04:42:00+00:00,39.0,0,clogging,unclog,flush/unblock,0.0022753595,synthetic unplanned intervention for asset_05_C00005,asset_05_C00005,5
M000006,asset_05,2026-01-07 04:42:00+00:00,2026-01-07 05:20:00+00:00,38.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001908667,scheduled cleaning after asset_05_C00005,asset_05_C00005,5
M000007,asset_05,2026-01-09 03:26:00+00:00,2026-01-09 03:40:00+00:00,14.0,0,clogging,unclog,flush/unblock,0.0027242027,synthetic unplanned intervention for asset_05_C00006,asset_05_C00006,6
M000008,asset_05,2026-01-09 03:40:00+00:00,2026-01-09 04:07:00+00:00,27.0,1,preventive,scheduled_CIP,CIP_cycle,0.0003597393,scheduled cleaning after asset_05_C00006,asset_05_C00006,6
M000009,asset_05,2026-01-10 18:34:00+00:00,2026-01-10 18:47:00+00:00,13.0,0,clogging,unclog,flush/unblock,0.0022090727,synthetic unplanned intervention for asset_05_C00007,asset_05_C00007,7
M000010,asset_05,2026-01-10 18:47:00+00:00,2026-01-10 19:24:00+00:00,37.0,1,preventive,scheduled_CIP,CIP_cycle,0.0001512067,scheduled cleaning after asset_05_C00007,asset_05_C00007,7
M000011,asset_05,2026-01-11 20:50:00+00:00,2026-01-11 21:30:00+00:00,40.0,1,preventive,scheduled_CIP,CIP_cycle,0.000206681,scheduled cleaning after asset_05_C00008,asset_05_C00008,8
