date,PRECIOS PAGADOS POR LOS AGRICULTORES,EUROS POR 100kg s/IVA,PIENSOS SIMPLES,TRIGO (PIENSO) (100kg),CEBADA (PIENSO) (100kg),AVENA (PIENSO) (100kg),MAIZ (PIENSO) (100kg),PAJA CEREALES (100kg),TORTA DE GIRASOL (100kg),PULPA DE REMOLACHA (100kg),ALFALFA DESHIDRATADA (100kg),PIENSOS COMPUESTOS,VACUNO,LACTORREMPLAZANTES 20% PROTEINA (100kg),TERNEROS CRIA (100kg),TERNEROS RECRIA Y CEBO (100kg),CONCENTRADO  VACUNO DE LECHE (100kg),CONCENTRADO VACUNO DE CARNE (100kg),OVINO Y CAPRINO,CORDEROS Y CHIVOS CRIA (100kg),CORDEROS Y CHIVOS RECRIA. ENGORDE (100kg),OVEJAS Y CABRAS LACTANTES (100kg),PORCINO,LECHONES (100kg),CERDOS CRECIMIENTO Y CEBO (100kg),CERDAS GESTACION Y LACTACION (100kg),CONEJOS,CONEJOS (100kg),AVES,POLLITAS CRIA-RECRIA (100kg),GALLINAS PONEDORAS (100kg),POLLOS CARNE (100kg),"Nota 1 : Posición comercial entrada explotación agraria, envasado.",Nota 2: Los datos mensuales de XXXX han de considerarse provisionales,Nota 2: La matriz de ponderación provincial para el cálculo del precio nacional se ha actualizado a la del cálculo de los índices de precios 2020=100,Nota 3: Los datos del último año han de considerarse provisionales.
2025-03-01,0,0,0,26.39,25.27,26.65,25.40,11.07,25.11,29.98,27.56,0,0,244.15,37.21,34.36,35.63,33.95,0,40.55,36.19,33.51,0,45.37,35.74,33.99,0,37.76,0,43.72,40.49,43.66,0,0,0,0
2025-04-01,0,0,0,25.93,24.65,25.49,25.54,10.75,24.95,29.67,30.06,0,0,251.05,36.75,34.41,38.05,33.47,0,40.07,35.66,33.16,0,45.04,35.41,33.56,0,37.05,0,44.14,40.18,42.88,0,0,0,0
2025-05-01,0,0,0,25.21,23.95,25.45,25.04,10.91,24.08,31.91,30.08,0,0,284.85,36.31,34.15,38.02,33.33,0,39.30,34.84,32.15,0,45.33,35.00,33.17,0,36.53,0,43.89,40.32,41.88,0,0,0,0
2025-06-01,0,0,0,24.71,22.79,24.61,24.44,11.07,23.25,31.93,30.05,0,0,284.81,36.27,34.29,38.22,33.17,0,39.87,35.40,32.26,0,44.94,34.70,33.04,0,36.57,0,43.09,39.51,41.43,0,0,0,0
2025-07-01,0,0,0,25.20,22.54,23.72,24.97,10.07,22.45,34.20,27.97,0,0,287.18,36.26,34.39,41.84,33.02,0,38.34,33.67,31.14,0,44.51,34.99,32.30,0,37.76,0,42.37,40.13,42.02,0,0,0,0
2025-08-01,0,0,0,24.20,23.19,22.76,25.12,9.94,22.28,34.72,27.99,0,0,287.16,36.07,34.22,41.88,33.28,0,37.73,33.63,31.03,0,44.17,34.35,32.28,0,37.29,0,42.11,39.75,41.74,0,0,0,0
2025-09-01,0,0,0,24.20,22.78,22.47,24.20,9.74,22.06,34.97,28.08,0,0,287.40,35.94,34.06,41.78,33.15,0,37.59,33.73,30.74,0,44.05,34.09,32.04,0,37.38,0,41.82,39.39,41.76,0,0,0,0
2025-10-01,0,0,0,24.16,22.75,22.32,23.68,9.69,21.40,35.45,28.71,0,0,287.38,35.95,34.01,41.83,32.90,0,37.60,33.75,30.76,0,43.98,33.99,32.05,0,37.25,0,41.18,39.07,41.81,0,0,0,0
2025-11-01,0,0,0,24.20,23.01,22.77,23.79,9.62,22.39,35.16,27.88,0,0,288.37,36.34,34.02,39.92,32.79,0,38.13,33.94,31.11,0,44.00,33.70,31.71,0,37.11,0,41.26,38.92,42.05,0,0,0,0
2025-12-01,0,0,0,23.99,23.13,22.21,24.05,9.80,22.53,33.88,27.94,0,0,287.79,36.48,34.05,39.65,32.91,0,38.46,34.43,31.09,0,44.05,33.78,31.91,0,36.73,0,41.13,38.97,42.03,0,0,0,0
2026-01-01,0,0,0,23.47,22.74,22.34,23.61,9.81,23.03,31.37,27.86,0,0,283.44,36.32,34.01,35.51,32.53,0,38.27,34.43,31.21,0,43.43,32.87,31.86,0,35.50,0,40.19,37.99,40.26,0,0,0,0
2026-02-01,0,0,0,23.64,22.77,21.94,23.48,10.01,23.07,31.48,27.76,0,0,281.14,35.72,33.98,35.16,32.54,0,37.95,33.69,30.65,0,43.20,32.70,31.78,0,35.70,0,39.42,36.50,40.05,0,0,0,0
2026-03-01,0,0,0,24.19,23.34,22.45,24.14,9.85,23.02,34.36,28.29,0,0,283.58,35.88,34.22,36.83,32.84,0,38.16,34.40,31.20,0,43.72,33.30,32.15,0,36.58,0,38.62,36.21,40.92,0,0,0,0
2026-04-01,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0
2026-05-01,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0
2026-06-01,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0
2026-07-01,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0
2026-08-01,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0
2026-09-01,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0
2026-10-01,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0
2026-11-01,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0
2026-12-01,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0
