date,INDICES DE PRECIOS PAGADOS POR LOS AGRICULTORES,INDICES MENSUALES Y ANUALES: AÑO BASE 2020=100,BIENES Y SERVICIOS DE USO CORRIENTE (INPUT I),SEMILLAS Y PLANTONES,SEMILLAS Y PLANTONES SEMILLAS,SEMILLAS Y PLANTONES PLANTONES,FERTILIZANTES,FERTILIZANTES SIMPLES,FERTILIZANTES SIMPLES NITROGENADOS,FERTILIZANTES SIMPLES FOSFATADOS,FERTILIZANTES SIMPLES POTASICOS,FERTILIZANTES COMPUESTOS,FERTILIZANTES ENMIENDAS,ALIMENTOS DE GANADO,ALIMENTOS DE GANADO PIENSOS SIMPLES,ALIMENTOS DE GANADO PIENSOS COMPUESTOS,ALIMENTOS DE GANADO PIENSOS COMPUESTOS PARA BOVINO,ALIMENTOS DE GANADO PIENSOS COMPUESTOS PARA OVINO Y CAPRINO,ALIMENTOS DE GANADO PIENSOS COMPUESTOS PARA PORCINO,ALIMENTOS DE GANADO PIENSOS COMPUESTOS PARA CONEJOS,ALIMENTOS DE GANADO PIENSOS COMPUESTOS PARA  AVES,Nota: Los datos mensuales de XXXX han de considerarse provisionales,Nota: Los datos del último año han de considerarse provisionales.
2024-11-01,0,0,123.87,122.71,124.55,117.83,144.73,145.68,148.82,136.45,135.01,159.23,97.73,120.69,114.17,121.96,121.64,125.13,122.10,126.57,120.95,0,0
2024-12-01,0,0,125.06,122.77,124.64,117.83,146.31,147.78,151.29,137.45,135.85,160.58,97.73,121.75,114.67,123.13,122.22,126.15,123.49,127.21,122.21,0,0
2025-01-01,0,0,126.27,123.57,124.28,121.69,148.02,150.54,156.53,141.02,125.54,162.12,95.45,123.79,121.36,124.27,120.26,124.15,125.38,134.23,124.69,0,0
2025-02-01,0,0,127.80,123.55,124.25,121.69,149.02,150.94,158.80,126.53,124.94,164.34,95.45,125.45,123.38,125.86,122.11,125.10,127.14,134.23,125.92,0,0
2025-03-01,0,0,127.04,123.55,124.25,121.69,150.80,154.40,163.66,122.86,125.40,164.85,93.75,126.60,123.16,127.27,122.85,125.27,128.94,135.93,127.31,0,0
2025-04-01,0,0,125.74,122.69,123.07,121.69,152.40,156.75,167.10,120.31,124.99,165.88,93.75,126.05,122.88,126.67,125.35,123.76,127.76,133.37,125.64,0,0
2025-05-01,0,0,125.31,122.69,123.07,121.69,153.54,158.45,168.16,127.79,126.59,167.18,92.05,125.03,122.31,125.56,125.61,120.56,126.56,131.50,124.01,0,0
2025-06-01,0,0,125.88,122.62,122.98,121.69,154.44,160.44,169.15,137.69,129.22,166.78,92.05,124.21,121.34,124.77,126.02,121.73,125.55,131.64,122.21,0,0
2025-07-01,0,0,126.52,122.41,121.74,124.17,155.59,161.41,168.97,147.67,130.88,168.59,92.05,124.25,116.20,125.82,129.82,116.83,125.76,135.93,123.86,0,0
2025-08-01,0,0,126.20,122.54,121.92,124.17,155.95,161.53,168.86,150.64,130.47,169.41,92.05,123.27,116.40,124.60,129.62,116.25,123.98,134.23,122.91,0,0
2025-09-01,0,0,125.80,122.54,121.92,124.17,157.08,162.80,170.20,151.58,131.60,170.73,92.05,122.58,115.37,123.98,129.16,115.77,123.16,134.56,122.51,0,0
2025-10-01,0,0,126.06,121.65,120.70,124.17,159.96,166.37,173.52,158.28,134.65,173.58,92.05,122.50,116.19,123.73,129.02,115.83,122.88,134.09,122.16,0,0
2025-11-01,0,0,126.09,121.25,120.15,124.17,161.18,168.01,173.95,167.41,138.16,174.61,92.05,122.05,117.05,123.02,127.13,116.98,122.00,133.59,122.43,0,0
2025-12-01,0,0,126.64,121.25,120.15,124.17,160.75,167.45,173.93,168.79,133.78,174.21,92.05,122.15,116.85,123.19,126.96,117.71,122.36,132.22,122.43,0,0
2026-01-01,0,0,124.51,122.80,119.97,130.31,159.12,164.37,171.82,156.22,131.16,174.53,90.91,118.98,114.24,119.90,122.50,117.82,119.70,127.79,118.11,0,0
2026-02-01,0,0,123.68,122.92,120.13,130.31,162.36,168.09,175.89,155.91,135.38,178.15,90.91,118.24,114.73,118.92,122.02,115.76,119.10,128.51,115.98,0,0
2026-03-01,0,0,129.32,122.71,119.85,130.31,175.01,186.00,197.41,166.30,139.24,187.43,90.91,120.14,116.90,120.77,124.33,117.70,121.06,131.68,117.09,0,0
2026-04-01,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2026-05-01,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2026-06-01,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2026-07-01,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2026-08-01,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2026-09-01,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2026-10-01,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2026-11-01,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2026-12-01,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
