Time_min,T_in_leche,F_flow,T_servicio,t_ciclo,Delta_P,E_consumo,T_out_leche,Is_Cleaning
325,4.0,4956.64,81.82,330,0.646,433.04,72.64,0
330,3.99,4920.4,81.72,335,0.612,422.83,72.53,0
335,4.16,4722.03,81.1,340,0.558,418.12,72.67,0
340,4.2,5479.13,83.59,345,0.756,503.14,72.63,0
345,3.9,5180.78,82.64,350,0.705,446.32,72.54,0
350,4.02,4312.24,80.16,355,0.477,379.5,72.61,0
355,3.86,5035.87,82.2,360,0.694,444.21,72.61,0
360,3.68,5277.35,83.05,365,0.738,475.29,72.66,0
365,4.46,4784.13,81.35,370,0.618,421.81,72.67,0
370,3.85,5254.63,82.99,375,0.708,468.36,72.62,0
375,3.94,4843.27,81.64,380,0.581,428.14,72.58,0
380,3.81,4373.7,80.38,385,0.471,385.74,72.65,0
385,4.42,4538.01,80.67,390,0.565,390.32,72.59,0
390,4.34,4911.03,81.86,395,0.647,433.94,72.59,0
395,4.44,5219.25,82.87,400,0.737,460.6,72.53,0
400,4.05,4816.02,81.63,405,0.656,424.06,72.63,0
405,4.14,4940.6,82.04,410,0.668,430.24,72.54,0
410,4.01,5464.58,83.85,415,0.785,503.36,72.47,0
415,3.85,4876.35,81.91,420,0.64,436.95,72.63,0
420,4.33,4813.54,81.66,425,0.635,416.75,72.57,0
425,3.59,4793.46,81.71,430,0.594,431.52,72.62,0
430,4.33,5314.09,83.35,435,0.747,482.02,72.55,0
435,4.28,4755.04,81.53,440,0.638,416.67,72.64,0
440,4.09,5319.23,83.44,445,0.741,472.97,72.64,0
445,4.02,4908.5,82.09,450,0.646,433.94,72.55,0
450,3.91,5393.98,83.77,455,0.813,486.55,72.64,0
455,3.46,4553.16,81.06,460,0.598,408.9,72.68,0
460,4.4,4886.85,82.02,465,0.658,426.51,72.53,0
465,4.0,3883.6,79.58,470,0.43,341.47,72.45,0
470,4.44,4580.37,81.08,475,0.583,403.23,72.64,0
475,3.76,5127.86,82.97,480,0.733,453.96,72.62,0
480,3.74,4521.66,81.49,485,0.541,404.77,73.05,0
485,4.26,5056.16,82.7,490,0.704,443.1,72.59,0
490,4.0,5407.42,83.97,495,0.809,489.4,72.66,0
495,4.02,4808.97,81.95,500,0.675,421.15,72.53,0
500,3.86,4078.04,80.09,505,0.473,368.68,72.47,0
505,4.28,5124.9,83.0,510,0.759,445.62,72.6,0
510,3.66,5113.2,83.07,515,0.736,456.33,72.65,0
515,4.26,4759.91,81.83,520,0.651,413.97,72.47,0
520,3.67,5028.9,82.82,525,0.706,443.08,72.56,0
525,4.2,5001.6,82.67,530,0.743,438.21,72.66,0
530,3.91,5236.02,83.53,535,0.768,466.02,72.59,0
535,4.5,4540.52,81.16,540,0.602,388.07,72.62,0
540,4.11,4142.22,80.13,545,0.507,369.35,72.34,0
545,4.35,4941.49,80.43,0,0.474,427.2,72.54,1
550,3.93,5202.15,81.25,5,0.554,452.0,72.57,0
555,4.3,4165.44,78.54,10,0.368,364.48,72.36,0
560,4.37,4718.83,79.83,15,0.488,409.16,72.53,0
565,3.99,4963.03,80.59,20,0.561,428.79,72.68,0
570,3.87,4575.28,79.52,25,0.494,397.4,72.66,0
575,3.97,4869.58,80.35,30,0.525,419.47,72.57,0
580,3.72,4969.33,80.69,35,0.53,426.91,72.61,0
585,4.21,4985.27,80.69,40,0.554,426.08,72.61,0
590,4.16,5290.21,81.64,45,0.617,456.69,72.63,0
595,4.73,4668.0,79.76,50,0.493,401.65,72.58,0
600,4.03,5414.82,82.08,55,0.658,486.46,72.63,0
605,3.94,4608.89,79.71,60,0.436,395.97,72.58,0
610,4.12,4895.81,80.53,65,0.546,412.83,72.68,0
615,4.47,5020.13,80.87,70,0.539,430.42,72.64,0
620,4.14,5420.53,82.16,75,0.632,483.06,72.58,0
625,4.56,5096.2,81.12,80,0.57,420.08,72.62,0
630,3.58,5231.39,81.67,85,0.616,451.11,72.58,0
635,4.11,5244.89,81.66,90,0.595,466.91,72.57,0
640,4.59,4818.99,80.35,95,0.497,414.07,72.64,0
645,4.26,4920.43,80.7,100,0.518,427.55,72.57,0
650,4.46,5240.98,81.66,105,0.61,450.05,72.63,0
655,3.9,5344.36,82.07,110,0.638,466.48,72.65,0
660,4.33,5370.2,82.11,115,0.646,480.21,72.69,0
665,4.09,4432.34,79.47,120,0.469,377.42,72.59,0
670,4.12,5174.0,81.57,125,0.599,451.26,72.62,0
675,4.18,5450.13,82.45,130,0.67,482.61,72.54,0
680,4.07,4920.18,80.83,135,0.535,424.27,72.6,0
685,3.8,4080.72,79.39,140,0.328,354.92,72.97,0
690,3.98,5232.13,81.84,145,0.628,455.2,72.59,0
695,4.11,5373.09,82.29,150,0.668,476.9,72.62,0
700,4.27,4953.42,80.98,155,0.574,424.38,72.59,0
705,3.32,5203.19,81.89,160,0.61,451.49,72.63,0
710,4.22,5259.17,81.96,165,0.665,466.64,72.59,0
715,4.22,4398.04,79.56,170,0.444,376.94,72.59,0
720,3.91,5271.72,82.08,175,0.69,459.65,72.57,0
725,4.17,4858.08,80.79,180,0.58,418.96,72.73,0
730,3.91,4918.92,81.02,185,0.581,426.97,72.61,0
735,3.59,4381.38,79.54,190,0.484,376.5,72.45,0
740,3.97,4209.71,79.35,195,0.452,366.6,72.68,0
745,4.18,5076.55,81.52,200,0.606,435.37,72.57,0
750,4.13,5005.78,81.32,205,0.579,420.23,72.62,0
755,4.52,4651.68,80.01,210,0.477,401.99,72.42,0
760,4.1,5115.45,81.7,215,0.618,438.76,72.6,0
765,4.14,4294.7,79.82,220,0.454,373.66,72.83,0
770,3.95,5038.45,81.52,225,0.619,433.64,72.7,0
775,3.67,4463.92,79.67,230,0.446,385.23,72.35,0
780,4.4,4751.5,80.63,235,0.543,407.94,72.62,0
785,3.36,5130.83,81.95,240,0.626,451.34,72.47,0
790,4.3,5110.44,81.77,245,0.631,440.23,72.59,0
795,3.52,4925.68,81.32,250,0.599,425.28,72.61,0
800,4.11,4895.52,81.17,255,0.585,423.97,72.59,0
805,3.69,5223.31,82.27,260,0.654,456.05,72.58,0
810,3.92,5272.39,82.41,265,0.696,461.08,72.6,0
815,4.4,5020.12,81.56,270,0.61,429.98,72.64,0
820,3.65,4585.08,80.36,275,0.547,398.03,72.7,0
825,3.63,4719.34,80.77,280,0.534,402.93,72.61,0
830,3.67,4903.28,81.34,285,0.601,426.34,72.63,0
835,4.06,5145.34,82.07,290,0.699,442.5,72.56,0
840,4.48,4937.26,81.38,295,0.626,417.31,72.57,0
845,4.25,5073.45,81.85,300,0.669,446.5,72.57,0
850,4.23,5431.62,83.03,305,0.731,481.47,72.57,0
855,4.14,4765.19,80.94,310,0.565,414.88,72.62,0
860,4.14,5416.02,83.03,315,0.761,485.71,72.75,0
865,4.39,5461.29,83.16,320,0.783,489.82,72.56,0
870,3.89,5211.18,82.43,325,0.677,457.01,72.56,0
875,4.63,5307.13,82.65,330,0.714,460.02,72.55,0
880,4.23,4768.63,81.03,335,0.612,418.55,72.58,0
885,4.23,4998.84,81.76,340,0.65,430.99,72.59,0
890,4.31,4887.2,81.41,345,0.591,418.08,72.58,0
895,4.1,4555.27,80.45,350,0.559,397.72,72.69,0
900,4.19,4963.57,81.7,355,0.616,430.41,72.6,0
905,3.68,5263.41,82.76,360,0.718,458.79,72.61,0
910,4.19,4856.56,81.4,365,0.621,407.56,72.65,0
915,4.58,4839.01,81.32,370,0.602,409.15,72.66,0
920,3.65,5286.97,82.9,375,0.742,465.61,72.61,0
925,4.24,5331.96,82.98,380,0.736,473.43,72.53,0
930,4.37,5349.2,83.04,385,0.756,476.28,72.62,0
935,3.94,5122.93,82.37,390,0.68,443.1,72.61,0
940,4.3,4970.84,81.85,395,0.654,426.64,72.58,0
945,4.92,4662.44,80.84,400,0.562,397.59,72.67,0
950,4.58,5094.93,82.25,405,0.664,432.64,72.54,0
955,4.2,4749.36,81.22,410,0.597,409.22,72.65,0
960,3.96,5366.25,83.27,415,0.786,484.12,72.63,0
965,4.09,5288.27,83.01,420,0.723,468.76,72.57,0
970,4.22,4953.37,81.91,425,0.616,427.62,72.57,0
975,3.88,4709.87,81.24,430,0.604,401.72,72.7,0
980,3.9,3959.74,80.79,435,0.45,353.49,73.69,0
985,4.0,5075.68,82.39,440,0.703,441.74,72.6,0
990,3.94,5136.68,82.62,445,0.697,447.0,72.65,0
995,3.42,4753.8,81.47,450,0.659,418.37,72.67,0
1000,3.91,5309.81,83.24,455,0.777,479.63,72.64,0
1005,4.16,4931.97,81.98,460,0.659,425.41,72.56,0
1010,4.11,4385.19,80.42,465,0.547,389.49,72.59,0
1015,4.23,5205.95,82.9,470,0.766,449.3,72.55,0
1020,4.25,5343.02,83.38,475,0.785,471.81,72.67,0
1025,4.49,4399.93,80.3,480,0.509,380.29,72.39,0
1030,3.13,5258.06,83.31,485,0.76,472.95,72.47,0
1035,3.76,5207.59,83.06,490,0.774,453.31,72.68,0
1040,4.28,4678.29,81.29,495,0.627,401.35,72.59,0
1045,3.68,5123.28,82.82,500,0.674,434.96,72.7,0
1050,4.02,4940.42,82.19,505,0.672,424.68,72.69,0
1055,3.66,4875.04,82.04,510,0.656,426.58,72.58,0
1060,3.65,4933.59,82.26,515,0.698,428.34,72.6,0
1065,3.95,5052.71,82.62,520,0.686,436.84,72.62,0
1070,3.84,5320.52,83.57,525,0.795,473.35,72.65,0
1075,3.88,4673.26,81.25,530,0.568,394.28,72.44,0
1080,4.12,5198.6,83.14,535,0.801,455.82,72.54,0
1085,4.19,4653.52,81.37,540,0.619,403.64,72.6,0
1090,3.72,4389.59,80.76,545,0.567,379.92,72.59,0
1095,4.03,5438.74,82.41,0,0.649,512.59,72.58,1
1100,4.38,5082.89,81.22,5,0.55,445.44,72.49,0
1105,4.12,5273.34,81.88,10,0.581,485.6,72.52,0
1110,4.11,5085.33,81.3,15,0.551,466.81,72.57,0
1115,3.99,5381.6,82.28,20,0.626,493.27,72.61,0
1120,3.64,5381.02,82.34,25,0.594,499.44,72.67,0
1125,4.08,5116.4,81.45,30,0.548,455.38,72.64,0
1130,4.57,5103.5,81.36,35,0.536,458.94,72.55,0
1135,4.01,4532.42,79.74,40,0.424,410.34,72.58,0
1140,4.02,4571.45,79.87,45,0.455,422.83,72.59,0
1145,3.67,4600.57,80.0,50,0.46,434.29,72.56,0
1150,3.91,5150.09,81.67,55,0.562,466.61,72.65,0
1155,3.8,4545.43,79.73,60,0.464,413.08,72.42,0
1160,4.31,4558.71,79.86,65,0.471,407.53,72.65,0
1165,3.84,5245.87,82.04,70,0.581,477.95,72.66,0
1170,4.31,4845.6,80.74,75,0.549,442.91,72.62,0
1175,4.03,4685.55,80.31,80,0.527,422.32,72.72,0
1180,4.06,4352.67,79.6,85,0.41,401.81,72.72,0
1185,3.48,5000.42,81.37,90,0.591,450.75,72.67,0
1190,3.81,4669.74,80.34,95,0.458,430.12,72.55,0
1195,4.27,4484.35,79.79,100,0.441,406.01,72.54,0
1200,4.54,5080.98,81.55,105,0.588,461.3,72.59,0
1205,3.41,4832.11,80.93,110,0.515,440.04,72.51,0
1210,4.1,4816.17,80.82,115,0.514,441.64,72.54,0
1215,4.31,4995.96,81.37,120,0.596,445.84,72.59,0
1220,4.33,4701.74,80.48,125,0.455,423.72,72.69,0
1225,3.98,5033.72,81.56,130,0.579,458.43,72.71,0
1230,4.34,4615.45,80.26,135,0.493,411.49,72.55,0
1235,3.85,5493.37,83.14,140,0.708,522.58,72.59,0
1240,4.27,4668.93,80.46,145,0.482,412.67,72.58,0
1245,3.86,4854.94,81.09,150,0.546,439.46,72.68,0
1250,4.01,4416.67,79.55,155,0.455,401.69,72.27,0
1255,4.15,5254.81,82.37,160,0.673,479.94,72.65,0
1260,4.21,5349.47,82.69,165,0.682,505.0,72.7,0
1265,4.32,4476.81,79.84,170,0.432,402.63,72.5,0
1270,3.88,4489.95,80.08,175,0.461,404.68,72.58,0
1275,3.73,4820.67,81.11,180,0.575,433.18,72.59,0
1280,3.84,5412.0,83.04,185,0.676,508.58,72.58,0
1285,4.1,5019.01,81.72,190,0.588,453.87,72.61,0
1290,4.42,4701.51,80.71,195,0.52,422.82,72.61,0
1295,4.25,5155.17,82.18,200,0.648,463.87,72.55,0
1300,4.22,4908.02,81.41,205,0.572,437.55,72.7,0
1305,4.57,4893.23,81.33,210,0.568,446.38,72.65,0
1310,4.06,4280.28,79.84,215,0.43,386.9,72.56,0
1315,4.17,4816.68,81.18,220,0.546,425.24,72.67,0
1320,4.07,4869.25,81.38,225,0.587,430.76,72.55,0
1325,4.26,5012.0,81.83,230,0.607,445.84,72.59,0
1330,4.31,4200.49,79.74,235,0.415,384.44,72.61,0
1335,4.38,4294.49,79.91,240,0.437,388.74,72.64,0
1340,3.77,4614.93,80.7,245,0.509,417.34,72.58,0
1345,3.81,5149.3,82.42,250,0.644,462.75,72.57,0
1350,4.54,5403.03,83.19,255,0.705,511.03,72.57,0
1355,3.98,4851.59,81.46,260,0.601,436.62,72.54,0
1360,4.33,4749.42,81.12,265,0.569,435.01,72.53,0
1365,3.44,5372.06,83.31,270,0.723,507.07,72.7,0
1370,4.06,4819.3,81.4,275,0.554,427.38,72.65,0
1375,3.51,5045.34,82.23,280,0.607,446.88,72.57,0
1380,3.75,4829.83,81.51,285,0.561,438.15,72.56,0
1385,3.81,4880.34,81.68,290,0.629,434.42,72.53,0
1390,4.12,5222.8,82.79,295,0.709,482.25,72.58,0
1395,3.83,4571.88,80.75,300,0.514,411.55,72.65,0
1400,3.96,4437.17,80.42,305,0.509,396.63,72.63,0
1405,4.52,5195.81,82.7,310,0.672,456.87,72.63,0
1410,4.0,5061.03,82.35,315,0.671,455.9,72.67,0
1415,4.15,5127.45,82.56,320,0.628,457.42,72.58,0
1420,3.64,4682.12,81.2,325,0.532,426.28,72.59,0
1425,3.85,4378.49,80.41,330,0.489,400.05,72.56,0
1430,4.59,4904.82,81.83,335,0.645,437.62,72.58,0
1435,4.38,4642.35,81.04,340,0.554,416.7,72.66,0
1440,3.56,5093.77,82.64,345,0.653,454.52,72.58,0
1445,4.03,5044.55,82.42,350,0.627,457.28,72.65,0
1450,4.38,4866.8,81.81,355,0.62,438.76,72.66,0
1455,4.56,5348.5,83.42,360,0.74,496.88,72.63,0
1460,4.17,4497.76,80.41,365,0.553,408.72,72.25,0
1465,4.09,4503.44,80.75,370,0.529,399.44,72.61,0
1470,4.18,4989.11,82.31,375,0.659,447.11,72.71,0
1475,4.18,4917.3,82.09,380,0.645,449.74,72.56,0
1480,4.2,5306.85,83.43,385,0.723,485.6,72.62,0
1485,4.04,5321.17,83.52,390,0.751,498.11,72.5,0
1490,4.22,4879.75,82.02,395,0.621,441.08,72.56,0
1495,4.06,5110.1,82.83,400,0.744,455.84,72.65,0
1500,4.02,5213.35,83.21,405,0.719,477.18,72.63,0
1505,3.78,4135.89,80.07,410,0.447,371.97,72.5,0
1510,4.37,5382.35,83.79,415,0.754,488.64,72.6,0
1515,4.69,5191.16,83.09,420,0.712,465.19,72.59,0
1520,4.38,4936.56,82.29,425,0.654,448.38,72.56,0
1525,4.03,4482.91,80.92,430,0.558,408.52,72.65,0
1530,4.3,5303.3,83.6,435,0.774,490.74,72.56,0
1535,4.18,5433.13,84.1,440,0.804,516.38,72.55,0
1540,4.08,4699.59,81.63,445,0.632,419.8,72.56,0
1545,3.85,4562.48,81.23,450,0.567,412.99,72.66,0
1550,3.87,4688.02,81.65,455,0.6,427.53,72.56,0
1555,4.39,5377.01,83.95,460,0.799,493.61,72.7,0
1560,4.16,5316.98,83.79,465,0.793,491.83,72.56,0
1565,3.94,4728.02,81.82,470,0.587,429.06,72.56,0
1570,3.95,4935.83,82.53,475,0.724,448.47,72.63,0
1575,3.8,5007.33,82.82,480,0.702,448.02,72.59,0
1580,4.0,5025.86,82.88,485,0.73,452.23,72.65,0
1585,4.63,4509.59,81.11,490,0.538,411.65,72.66,0
1590,4.27,4809.23,82.14,495,0.649,434.16,72.66,0
1595,3.66,3774.34,79.86,500,0.404,340.71,72.62,0
1600,3.65,5168.24,83.51,505,0.712,467.63,72.59,0
1605,4.09,5055.44,83.06,510,0.7,459.91,72.6,0
1610,3.97,5111.76,83.3,515,0.723,465.69,72.61,0
1615,4.31,5408.06,84.32,520,0.816,498.68,72.57,0
1620,3.84,4994.0,82.94,525,0.686,447.2,72.62,0
1625,4.33,4073.35,80.43,530,0.433,369.91,72.66,0
1630,3.54,4374.03,80.95,535,0.522,392.26,72.47,0
1635,4.05,4791.47,82.29,540,0.622,432.84,72.53,0
1640,4.34,5392.8,84.37,545,0.876,504.17,72.58,0
1645,3.79,5089.78,80.87,0,0.508,429.96,72.63,1
1650,3.98,4877.35,80.23,5,0.505,417.76,72.6,0
1655,4.22,4134.03,79.14,10,0.333,357.95,72.99,0
1660,4.14,5216.24,81.24,15,0.58,451.19,72.62,0
1665,4.27,5448.14,81.96,20,0.616,486.38,72.57,0
1670,3.69,4983.45,80.64,25,0.529,428.51,72.64,0
1675,4.0,4897.36,80.37,30,0.496,418.65,72.64,0
1680,4.2,4536.99,79.36,35,0.449,385.37,72.58,0
1685,5.24,4345.41,78.95,40,0.402,372.91,72.69,0
1690,4.13,5117.9,81.06,45,0.596,441.42,72.55,0
1695,4.35,4768.5,79.83,50,0.514,405.51,72.42,0
1700,4.25,4987.68,80.69,55,0.555,422.31,72.64,0
1705,3.58,4876.25,80.46,60,0.515,421.37,72.66,0
1710,3.8,4705.45,79.96,65,0.471,400.63,72.64,0
1715,4.42,4881.95,80.41,70,0.539,408.23,72.6,0
1720,4.21,5136.14,81.21,75,0.593,428.86,72.65,0
1725,4.02,5305.8,81.77,80,0.646,472.39,72.51,0
1730,3.74,5037.67,81.0,85,0.547,429.89,72.61,0
1735,3.47,4872.03,80.28,90,0.508,424.08,72.46,0
1740,4.51,4766.16,80.15,95,0.486,405.69,72.55,0
1745,3.86,5128.33,81.31,100,0.631,441.07,72.66,0
1750,4.26,5241.19,81.62,105,0.611,450.32,72.59,0
1755,4.18,4910.96,80.66,110,0.564,419.32,72.57,0
1760,3.75,4692.25,80.09,115,0.472,408.95,72.6,0
1765,3.88,4472.36,79.35,120,0.444,381.87,72.45,0
1770,4.3,4754.14,80.24,125,0.514,408.78,72.58,0
1775,4.24,5041.85,81.1,130,0.575,419.91,72.53,0
1780,4.26,4164.66,79.29,135,0.397,361.01,72.8,0
1785,4.48,4451.66,79.47,140,0.451,384.94,72.62,0
1790,3.77,5401.6,82.34,145,0.697,489.28,72.63,0
1795,3.78,5048.1,81.25,150,0.563,433.1,72.61,0
1800,4.24,5492.12,82.6,155,0.693,492.3,72.61,0
1805,4.44,5223.57,81.74,160,0.635,448.03,72.67,0
1810,3.56,4439.4,79.93,165,0.471,391.1,72.77,0
1815,4.56,4533.41,79.73,170,0.456,388.82,72.67,0
1820,3.94,4764.37,80.47,175,0.538,400.77,72.68,0
1825,4.32,4057.25,78.99,180,0.371,349.65,72.56,0
1830,4.5,5443.5,82.52,185,0.698,484.71,72.66,0
1835,3.99,5031.89,81.31,190,0.621,438.44,72.58,0
1840,4.05,4695.74,80.32,195,0.532,405.37,72.6,0
1845,4.29,5066.15,81.41,200,0.639,436.83,72.62,0
1850,3.76,5206.91,81.94,205,0.661,444.77,72.56,0
1855,4.42,4922.76,81.0,210,0.589,418.3,72.64,0
1860,4.1,4561.0,79.88,215,0.524,389.79,72.48,0
1865,4.66,5218.63,81.91,220,0.686,449.89,72.56,0
1870,4.43,4384.99,79.65,225,0.459,376.19,72.62,0
1875,3.98,4656.96,80.34,230,0.555,392.82,72.69,0
1880,4.07,4691.58,80.44,235,0.493,406.01,72.59,0
1885,3.89,4477.67,79.89,240,0.514,375.79,72.55,0
1890,3.87,5190.07,82.02,245,0.654,449.11,72.56,0
1895,4.28,4470.9,79.75,250,0.512,375.88,72.47,0
1900,3.89,5376.09,82.65,255,0.718,478.93,72.57,0
1905,4.28,4723.48,80.59,260,0.527,399.22,72.63,0
1910,4.13,4018.83,79.37,265,0.417,343.73,72.88,0
1915,3.85,5306.49,82.49,270,0.674,471.63,72.6,0
1920,4.59,4961.09,81.32,275,0.603,427.97,72.74,0
1925,4.11,5127.21,81.91,280,0.648,440.99,72.62,0
1930,4.12,4609.04,80.36,285,0.516,395.23,72.7,0
1935,4.28,5237.25,82.27,290,0.68,447.6,72.54,0
1940,3.67,4916.85,81.36,295,0.62,427.43,72.56,0
1945,3.94,4905.77,81.31,300,0.592,425.95,72.56,0
1950,4.31,4513.91,80.12,305,0.493,387.26,72.63,0
1955,3.92,4795.01,81.01,310,0.56,422.81,72.59,0
1960,4.17,4748.77,80.86,315,0.605,396.84,72.59,0
1965,4.34,4361.11,79.85,320,0.49,373.02,72.56,0
1970,4.06,5232.07,82.42,325,0.692,449.53,72.54,0
1975,4.35,4763.74,80.94,330,0.581,400.8,72.55,0
1980,4.31,4961.52,81.56,335,0.642,421.0,72.74,0
1985,5.08,5176.13,82.15,340,0.701,434.52,72.6,0
1990,3.55,5174.47,82.38,345,0.684,444.98,72.48,0
1995,4.0,4772.33,81.07,350,0.594,410.68,72.62,0
2000,3.97,4670.04,80.78,355,0.586,406.52,72.58,0
2005,3.66,5073.34,82.09,360,0.683,430.71,72.65,0
2010,4.56,5154.49,82.24,365,0.676,443.65,72.61,0
2015,4.12,4972.43,81.74,370,0.636,423.28,72.59,0
2020,4.0,5035.31,81.97,375,0.704,430.75,72.69,0
2025,3.85,5301.93,82.88,380,0.73,473.67,72.57,0
2030,4.15,4537.57,80.46,385,0.52,379.55,72.64,0
2035,4.3,4721.46,81.01,390,0.586,404.35,72.62,0
2040,4.0,4916.08,81.66,395,0.629,421.28,72.62,0
2045,4.02,5318.61,82.98,400,0.753,458.89,72.51,0
2050,4.25,4289.47,80.04,405,0.497,363.57,72.6,0
2055,3.72,4544.32,80.61,410,0.551,391.27,72.57,0
2060,4.17,5318.41,83.02,415,0.76,466.93,72.63,0
2065,4.01,4852.36,81.55,420,0.67,419.5,72.57,0
2070,4.16,5123.0,82.41,425,0.736,431.02,72.64,0
2075,4.17,4674.61,81.01,430,0.595,403.62,72.57,0
2080,4.24,4000.44,79.51,435,0.452,344.58,72.49,0
2085,4.09,4902.84,81.76,440,0.671,422.71,72.65,0
2090,4.05,5432.59,83.53,445,0.825,481.86,72.6,0
2095,4.56,4341.35,80.45,450,0.518,368.59,72.81,0
2100,4.06,5157.63,82.64,455,0.741,439.53,72.63,0
2105,4.51,5066.03,82.3,460,0.688,427.06,72.59,0
2110,3.73,4479.57,80.33,465,0.571,392.07,72.38,0
2115,4.04,5276.69,83.1,470,0.803,466.85,72.58,0
2120,4.45,4844.83,81.65,475,0.659,413.92,72.65,0
2125,4.4,4880.19,81.79,480,0.706,419.45,72.61,0
2130,4.27,5033.36,82.31,485,0.719,429.65,72.67,0
2135,4.41,4497.49,80.89,490,0.537,386.7,72.8,0
2140,3.93,5023.89,82.37,495,0.697,431.13,72.58,0
2145,5.13,4578.25,80.83,500,0.573,383.41,72.6,0
2150,4.44,5477.8,83.86,505,0.88,497.52,72.69,0
2155,4.02,5248.57,83.16,510,0.786,458.04,72.58,0
2160,4.52,5254.51,83.12,515,0.804,452.34,72.63,0
2165,3.94,5151.69,82.88,520,0.792,441.52,72.66,0
2170,3.35,4904.92,82.16,525,0.685,419.43,72.66,0
2175,4.36,4542.26,80.78,530,0.618,392.69,72.43,0
2180,3.93,5397.77,83.78,535,0.816,481.89,72.63,0
2185,4.27,4701.27,81.44,540,0.628,403.83,72.68,0
2190,4.73,5057.11,82.54,545,0.722,427.25,72.53,0
2195,4.33,4886.15,80.63,0,0.486,436.71,72.56,1
