T_in_leche,F_flow,T_servicio,t_ciclo,Delta_P,E_consumo,T_out_leche
4.23,5431.62,83.03,305.0,0.731,481.47,72.57
4.14,4765.19,80.94,310.0,0.565,414.88,72.62
4.14,5416.02,83.03,315.0,0.761,485.71,72.75
4.39,5461.29,83.16,320.0,0.783,489.82,72.56
3.89,5211.18,82.43,325.0,0.677,457.01,72.56
4.63,5307.13,82.65,330.0,0.714,460.02,72.55
4.23,4768.63,81.03,335.0,0.612,418.55,72.58
4.23,4998.84,81.76,340.0,0.65,430.99,72.59
4.31,4887.2,81.41,345.0,0.591,418.08,72.58
4.1,4555.27,80.45,350.0,0.559,397.72,72.69
4.19,4963.57,81.7,355.0,0.616,430.41,72.6
3.68,5263.41,82.76,360.0,0.718,458.79,72.61
4.19,4856.56,81.4,365.0,0.621,407.56,72.65
4.58,4839.01,81.32,370.0,0.602,409.15,72.66
3.65,5286.97,82.9,375.0,0.742,465.61,72.61
4.24,5331.96,82.98,380.0,0.736,473.43,72.53
4.37,5349.2,83.04,385.0,0.756,476.28,72.62
3.94,5122.93,82.37,390.0,0.68,443.1,72.61
4.3,4970.84,81.85,395.0,0.654,426.64,72.58
4.92,4662.44,80.84,400.0,0.562,397.59,72.67
4.58,5094.93,82.25,405.0,0.664,432.64,72.54
4.2,4749.36,81.22,410.0,0.597,409.22,72.65
3.96,5366.25,83.27,415.0,0.786,484.12,72.63
4.09,5288.27,83.01,420.0,0.723,468.76,72.57
4.22,4953.37,81.91,425.0,0.616,427.62,72.57
3.88,4709.87,81.24,430.0,0.604,401.72,72.7
3.9,3959.74,80.79,435.0,0.45,353.49,73.69
4.0,5075.68,82.39,440.0,0.703,441.74,72.6
3.94,5136.68,82.62,445.0,0.697,447.0,72.65
3.42,4753.8,81.47,450.0,0.659,418.37,72.67
3.91,5309.81,83.24,455.0,0.777,479.63,72.64
4.16,4931.97,81.98,460.0,0.659,425.41,72.56
4.11,4385.19,80.42,465.0,0.547,389.49,72.59
4.23,5205.95,82.9,470.0,0.766,449.3,72.55
4.25,5343.02,83.38,475.0,0.785,471.81,72.67
4.49,4399.93,80.3,480.0,0.509,380.29,72.39
3.13,5258.06,83.31,485.0,0.76,472.95,72.47
3.76,5207.59,83.06,490.0,0.774,453.31,72.68
4.28,4678.29,81.29,495.0,0.627,401.35,72.59
3.68,5123.28,82.82,500.0,0.674,434.96,72.7
4.02,4940.42,82.19,505.0,0.672,424.68,72.69
3.66,4875.04,82.04,510.0,0.656,426.58,72.58
3.65,4933.59,82.26,515.0,0.698,428.34,72.6
3.95,5052.71,82.62,520.0,0.686,436.84,72.62
3.84,5320.52,83.57,525.0,0.795,473.35,72.65
3.88,4673.26,81.25,530.0,0.568,394.28,72.44
4.12,5198.6,83.14,535.0,0.801,455.82,72.54
4.19,4653.52,81.37,540.0,0.619,403.64,72.6
3.72,4389.59,80.76,545.0,0.567,379.92,72.59
4.38,5082.89,81.22,5.0,0.55,445.44,72.49
4.12,5273.34,81.88,10.0,0.581,485.6,72.52
4.11,5085.33,81.3,15.0,0.551,466.81,72.57
3.99,5381.6,82.28,20.0,0.626,493.27,72.61
3.64,5381.02,82.34,25.0,0.594,499.44,72.67
4.08,5116.4,81.45,30.0,0.548,455.38,72.64
4.57,5103.5,81.36,35.0,0.536,458.94,72.55
4.01,4532.42,79.74,40.0,0.424,410.34,72.58
4.02,4571.45,79.87,45.0,0.455,422.83,72.59
3.67,4600.57,80.0,50.0,0.46,434.29,72.56
3.91,5150.09,81.67,55.0,0.562,466.61,72.65
3.8,4545.43,79.73,60.0,0.464,413.08,72.42
4.31,4558.71,79.86,65.0,0.471,407.53,72.65
3.84,5245.87,82.04,70.0,0.581,477.95,72.66
4.31,4845.6,80.74,75.0,0.549,442.91,72.62
4.03,4685.55,80.31,80.0,0.527,422.32,72.72
4.06,4352.67,79.6,85.0,0.41,401.81,72.72
3.48,5000.42,81.37,90.0,0.591,450.75,72.67
3.81,4669.74,80.34,95.0,0.458,430.12,72.55
4.27,4484.35,79.79,100.0,0.441,406.01,72.54
4.54,5080.98,81.55,105.0,0.588,461.3,72.59
3.41,4832.11,80.93,110.0,0.515,440.04,72.51
4.1,4816.17,80.82,115.0,0.514,441.64,72.54
4.31,4995.96,81.37,120.0,0.596,445.84,72.59
4.33,4701.74,80.48,125.0,0.455,423.72,72.69
3.98,5033.72,81.56,130.0,0.579,458.43,72.71
4.34,4615.45,80.26,135.0,0.493,411.49,72.55
3.85,5493.37,83.14,140.0,0.708,522.58,72.59
4.27,4668.93,80.46,145.0,0.482,412.67,72.58
3.86,4854.94,81.09,150.0,0.546,439.46,72.68
4.01,4416.67,79.55,155.0,0.455,401.69,72.27
4.15,5254.81,82.37,160.0,0.673,479.94,72.65
4.21,5349.47,82.69,165.0,0.682,505.0,72.7
4.32,4476.81,79.84,170.0,0.432,402.63,72.5
3.88,4489.95,80.08,175.0,0.461,404.68,72.58
3.73,4820.67,81.11,180.0,0.575,433.18,72.59
3.84,5412.0,83.04,185.0,0.676,508.58,72.58
4.1,5019.01,81.72,190.0,0.588,453.87,72.61
4.42,4701.51,80.71,195.0,0.52,422.82,72.61
4.25,5155.17,82.18,200.0,0.648,463.87,72.55
4.22,4908.02,81.41,205.0,0.572,437.55,72.7
4.57,4893.23,81.33,210.0,0.568,446.38,72.65
4.06,4280.28,79.84,215.0,0.43,386.9,72.56
4.17,4816.68,81.18,220.0,0.546,425.24,72.67
4.07,4869.25,81.38,225.0,0.587,430.76,72.55
4.26,5012.0,81.83,230.0,0.607,445.84,72.59
4.31,4200.49,79.74,235.0,0.415,384.44,72.61
4.38,4294.49,79.91,240.0,0.437,388.74,72.64
3.77,4614.93,80.7,245.0,0.509,417.34,72.58
3.81,5149.3,82.42,250.0,0.644,462.75,72.57
4.54,5403.03,83.19,255.0,0.705,511.03,72.57
3.98,4851.59,81.46,260.0,0.601,436.62,72.54
4.33,4749.42,81.12,265.0,0.569,435.01,72.53
3.44,5372.06,83.31,270.0,0.723,507.07,72.7
4.06,4819.3,81.4,275.0,0.554,427.38,72.65
3.51,5045.34,82.23,280.0,0.607,446.88,72.57
3.75,4829.83,81.51,285.0,0.561,438.15,72.56
3.81,4880.34,81.68,290.0,0.629,434.42,72.53
4.12,5222.8,82.79,295.0,0.709,482.25,72.58
3.83,4571.88,80.75,300.0,0.514,411.55,72.65
3.96,4437.17,80.42,305.0,0.509,396.63,72.63
4.52,5195.81,82.7,310.0,0.672,456.87,72.63
4.0,5061.03,82.35,315.0,0.671,455.9,72.67
4.15,5127.45,82.56,320.0,0.628,457.42,72.58
3.64,4682.12,81.2,325.0,0.532,426.28,72.59
3.85,4378.49,80.41,330.0,0.489,400.05,72.56
4.59,4904.82,81.83,335.0,0.645,437.62,72.58
4.38,4642.35,81.04,340.0,0.554,416.7,72.66
3.56,5093.77,82.64,345.0,0.653,454.52,72.58
4.03,5044.55,82.42,350.0,0.627,457.28,72.65
4.38,4866.8,81.81,355.0,0.62,438.76,72.66
4.56,5348.5,83.42,360.0,0.74,496.88,72.63
4.17,4497.76,80.41,365.0,0.553,408.72,72.25
4.09,4503.44,80.75,370.0,0.529,399.44,72.61
4.18,4989.11,82.31,375.0,0.659,447.11,72.71
4.18,4917.3,82.09,380.0,0.645,449.74,72.56
4.2,5306.85,83.43,385.0,0.723,485.6,72.62
4.04,5321.17,83.52,390.0,0.751,498.11,72.5
4.22,4879.75,82.02,395.0,0.621,441.08,72.56
4.06,5110.1,82.83,400.0,0.744,455.84,72.65
4.02,5213.35,83.21,405.0,0.719,477.18,72.63
3.78,4135.89,80.07,410.0,0.447,371.97,72.5
4.37,5382.35,83.79,415.0,0.754,488.64,72.6
4.69,5191.16,83.09,420.0,0.712,465.19,72.59
4.38,4936.56,82.29,425.0,0.654,448.38,72.56
4.03,4482.91,80.92,430.0,0.558,408.52,72.65
4.3,5303.3,83.6,435.0,0.774,490.74,72.56
4.18,5433.13,84.1,440.0,0.804,516.38,72.55
4.08,4699.59,81.63,445.0,0.632,419.8,72.56
3.85,4562.48,81.23,450.0,0.567,412.99,72.66
3.87,4688.02,81.65,455.0,0.6,427.53,72.56
4.39,5377.01,83.95,460.0,0.799,493.61,72.7
4.16,5316.98,83.79,465.0,0.793,491.83,72.56
3.94,4728.02,81.82,470.0,0.587,429.06,72.56
3.95,4935.83,82.53,475.0,0.724,448.47,72.63
3.8,5007.33,82.82,480.0,0.702,448.02,72.59
4.0,5025.86,82.88,485.0,0.73,452.23,72.65
4.63,4509.59,81.11,490.0,0.538,411.65,72.66
4.27,4809.23,82.14,495.0,0.649,434.16,72.66
3.66,3774.34,79.86,500.0,0.404,340.71,72.62
3.65,5168.24,83.51,505.0,0.712,467.63,72.59
4.09,5055.44,83.06,510.0,0.7,459.91,72.6
3.97,5111.76,83.3,515.0,0.723,465.69,72.61
4.31,5408.06,84.32,520.0,0.816,498.68,72.57
3.84,4994.0,82.94,525.0,0.686,447.2,72.62
4.33,4073.35,80.43,530.0,0.433,369.91,72.66
3.54,4374.03,80.95,535.0,0.522,392.26,72.47
4.05,4791.47,82.29,540.0,0.622,432.84,72.53
4.34,5392.8,84.37,545.0,0.876,504.17,72.58
3.98,4877.35,80.23,5.0,0.505,417.76,72.6
4.22,4134.03,79.14,10.0,0.333,357.95,72.99
4.14,5216.24,81.24,15.0,0.58,451.19,72.62
4.27,5448.14,81.96,20.0,0.616,486.38,72.57
3.69,4983.45,80.64,25.0,0.529,428.51,72.64
4.0,4897.36,80.37,30.0,0.496,418.65,72.64
4.2,4536.99,79.36,35.0,0.449,385.37,72.58
5.24,4345.41,78.95,40.0,0.402,372.91,72.69
4.13,5117.9,81.06,45.0,0.596,441.42,72.55
4.35,4768.5,79.83,50.0,0.514,405.51,72.42
4.25,4987.68,80.69,55.0,0.555,422.31,72.64
3.58,4876.25,80.46,60.0,0.515,421.37,72.66
3.8,4705.45,79.96,65.0,0.471,400.63,72.64
4.42,4881.95,80.41,70.0,0.539,408.23,72.6
4.21,5136.14,81.21,75.0,0.593,428.86,72.65
4.02,5305.8,81.77,80.0,0.646,472.39,72.51
3.74,5037.67,81.0,85.0,0.547,429.89,72.61
3.47,4872.03,80.28,90.0,0.508,424.08,72.46
4.51,4766.16,80.15,95.0,0.486,405.69,72.55
3.86,5128.33,81.31,100.0,0.631,441.07,72.66
4.26,5241.19,81.62,105.0,0.611,450.32,72.59
4.18,4910.96,80.66,110.0,0.564,419.32,72.57
3.75,4692.25,80.09,115.0,0.472,408.95,72.6
3.88,4472.36,79.35,120.0,0.444,381.87,72.45
4.3,4754.14,80.24,125.0,0.514,408.78,72.58
4.24,5041.85,81.1,130.0,0.575,419.91,72.53
4.26,4164.66,79.29,135.0,0.397,361.01,72.8
4.48,4451.66,79.47,140.0,0.451,384.94,72.62
3.77,5401.6,82.34,145.0,0.697,489.28,72.63
3.78,5048.1,81.25,150.0,0.563,433.1,72.61
4.24,5492.12,82.6,155.0,0.693,492.3,72.61
4.44,5223.57,81.74,160.0,0.635,448.03,72.67
3.56,4439.4,79.93,165.0,0.471,391.1,72.77
4.56,4533.41,79.73,170.0,0.456,388.82,72.67
3.94,4764.37,80.47,175.0,0.538,400.77,72.68
4.32,4057.25,78.99,180.0,0.371,349.65,72.56
4.5,5443.5,82.52,185.0,0.698,484.71,72.66
3.99,5031.89,81.31,190.0,0.621,438.44,72.58
4.05,4695.74,80.32,195.0,0.532,405.37,72.6
4.29,5066.15,81.41,200.0,0.639,436.83,72.62
3.76,5206.91,81.94,205.0,0.661,444.77,72.56
4.42,4922.76,81.0,210.0,0.589,418.3,72.64
4.1,4561.0,79.88,215.0,0.524,389.79,72.48
4.66,5218.63,81.91,220.0,0.686,449.89,72.56
4.43,4384.99,79.65,225.0,0.459,376.19,72.62
3.98,4656.96,80.34,230.0,0.555,392.82,72.69
4.07,4691.58,80.44,235.0,0.493,406.01,72.59
3.89,4477.67,79.89,240.0,0.514,375.79,72.55
3.87,5190.07,82.02,245.0,0.654,449.11,72.56
4.28,4470.9,79.75,250.0,0.512,375.88,72.47
3.89,5376.09,82.65,255.0,0.718,478.93,72.57
4.28,4723.48,80.59,260.0,0.527,399.22,72.63
4.13,4018.83,79.37,265.0,0.417,343.73,72.88
3.85,5306.49,82.49,270.0,0.674,471.63,72.6
4.59,4961.09,81.32,275.0,0.603,427.97,72.74
4.11,5127.21,81.91,280.0,0.648,440.99,72.62
4.12,4609.04,80.36,285.0,0.516,395.23,72.7
4.28,5237.25,82.27,290.0,0.68,447.6,72.54
3.67,4916.85,81.36,295.0,0.62,427.43,72.56
3.94,4905.77,81.31,300.0,0.592,425.95,72.56
4.31,4513.91,80.12,305.0,0.493,387.26,72.63
3.92,4795.01,81.01,310.0,0.56,422.81,72.59
4.17,4748.77,80.86,315.0,0.605,396.84,72.59
4.34,4361.11,79.85,320.0,0.49,373.02,72.56
4.06,5232.07,82.42,325.0,0.692,449.53,72.54
4.35,4763.74,80.94,330.0,0.581,400.8,72.55
4.31,4961.52,81.56,335.0,0.642,421.0,72.74
5.08,5176.13,82.15,340.0,0.701,434.52,72.6
3.55,5174.47,82.38,345.0,0.684,444.98,72.48
4.0,4772.33,81.07,350.0,0.594,410.68,72.62
3.97,4670.04,80.78,355.0,0.586,406.52,72.58
3.66,5073.34,82.09,360.0,0.683,430.71,72.65
4.56,5154.49,82.24,365.0,0.676,443.65,72.61
4.12,4972.43,81.74,370.0,0.636,423.28,72.59
4.0,5035.31,81.97,375.0,0.704,430.75,72.69
3.85,5301.93,82.88,380.0,0.73,473.67,72.57
4.15,4537.57,80.46,385.0,0.52,379.55,72.64
4.3,4721.46,81.01,390.0,0.586,404.35,72.62
4.0,4916.08,81.66,395.0,0.629,421.28,72.62
4.02,5318.61,82.98,400.0,0.753,458.89,72.51
4.25,4289.47,80.04,405.0,0.497,363.57,72.6
3.72,4544.32,80.61,410.0,0.551,391.27,72.57
4.17,5318.41,83.02,415.0,0.76,466.93,72.63
4.01,4852.36,81.55,420.0,0.67,419.5,72.57
4.16,5123.0,82.41,425.0,0.736,431.02,72.64
4.17,4674.61,81.01,430.0,0.595,403.62,72.57
4.24,4000.44,79.51,435.0,0.452,344.58,72.49
4.09,4902.84,81.76,440.0,0.671,422.71,72.65
4.05,5432.59,83.53,445.0,0.825,481.86,72.6
4.56,4341.35,80.45,450.0,0.518,368.59,72.81
4.06,5157.63,82.64,455.0,0.741,439.53,72.63
4.51,5066.03,82.3,460.0,0.688,427.06,72.59
3.73,4479.57,80.33,465.0,0.571,392.07,72.38
4.04,5276.69,83.1,470.0,0.803,466.85,72.58
4.45,4844.83,81.65,475.0,0.659,413.92,72.65
4.4,4880.19,81.79,480.0,0.706,419.45,72.61
4.27,5033.36,82.31,485.0,0.719,429.65,72.67
4.41,4497.49,80.89,490.0,0.537,386.7,72.8
3.93,5023.89,82.37,495.0,0.697,431.13,72.58
5.13,4578.25,80.83,500.0,0.573,383.41,72.6
4.44,5477.8,83.86,505.0,0.88,497.52,72.69
4.02,5248.57,83.16,510.0,0.786,458.04,72.58
4.52,5254.51,83.12,515.0,0.804,452.34,72.63
3.94,5151.69,82.88,520.0,0.792,441.52,72.66
3.35,4904.92,82.16,525.0,0.685,419.43,72.66
4.36,4542.26,80.78,530.0,0.618,392.69,72.43
3.93,5397.77,83.78,535.0,0.816,481.89,72.63
4.27,4701.27,81.44,540.0,0.628,403.83,72.68
4.73,5057.11,82.54,545.0,0.722,427.25,72.53
3.69,4731.92,80.24,5.0,0.417,430.88,72.59
4.02,4877.59,80.66,10.0,0.551,440.02,72.58
4.0,4913.53,80.78,15.0,0.54,435.97,72.58
4.18,4919.8,80.8,20.0,0.508,427.34,72.55
3.8,5233.01,81.84,25.0,0.621,479.35,72.66
4.26,5302.15,82.02,30.0,0.632,490.54,72.53
4.48,5492.67,82.63,35.0,0.637,517.56,72.61
4.05,4983.79,81.08,40.0,0.522,449.88,72.61
3.93,4840.48,80.68,45.0,0.494,435.77,72.59
3.64,4940.85,81.04,50.0,0.52,449.62,72.59
4.27,5374.39,82.35,55.0,0.596,502.61,72.52
4.14,4924.14,80.96,60.0,0.526,442.36,72.55
4.33,5399.19,82.46,65.0,0.621,505.95,72.65
3.55,4673.38,80.31,70.0,0.483,425.82,72.62
4.36,4959.71,81.09,75.0,0.557,436.98,72.55
4.53,4813.98,80.65,80.0,0.496,428.14,72.64
3.59,4182.58,79.54,85.0,0.412,372.65,72.83
3.74,4605.06,80.15,90.0,0.451,411.97,72.63
4.64,5171.73,81.8,95.0,0.631,460.95,72.55
4.72,4514.35,79.82,100.0,0.455,397.69,72.53
4.0,4971.18,81.29,105.0,0.576,448.36,72.64
4.77,4822.57,80.75,110.0,0.511,437.46,72.7
4.22,4979.12,81.32,115.0,0.605,441.59,72.52
3.94,4448.9,79.84,120.0,0.419,402.02,72.59
4.24,4743.63,80.63,125.0,0.538,420.4,72.57
4.19,4970.95,81.35,130.0,0.571,446.27,72.56
4.08,4988.5,81.44,135.0,0.574,453.56,72.68
4.77,4278.76,79.54,140.0,0.411,381.12,72.53
4.5,4717.11,80.59,145.0,0.526,415.42,72.72
4.8,4804.31,80.83,150.0,0.545,427.93,72.62
4.04,4495.06,80.02,155.0,0.471,404.51,72.64
4.37,5373.61,82.75,160.0,0.714,494.44,72.55
4.4,5234.94,82.3,165.0,0.618,473.16,72.69
4.11,5278.43,82.51,170.0,0.635,471.75,72.57
4.44,5017.33,81.63,175.0,0.595,452.72,72.56
4.17,5133.15,82.06,180.0,0.613,451.31,72.56
4.27,4904.73,81.33,185.0,0.54,435.52,72.63
3.54,4917.58,81.48,190.0,0.576,441.53,72.55
4.0,4382.21,79.96,195.0,0.432,400.54,72.6
3.82,4957.59,81.61,200.0,0.619,443.23,72.66
4.06,5030.54,81.83,205.0,0.64,461.54,72.61
4.43,5085.91,81.97,210.0,0.651,446.17,72.68
4.82,4498.75,80.13,215.0,0.502,390.72,72.59
